hotel,arrival_date,total_reservations,canceled_reservations,cancellation_rate
"City Hotel",2015-07-01,79,14,17.7215
"City Hotel",2015-07-02,49,48,97.9592
"City Hotel",2015-07-03,16,6,37.5000
"City Hotel",2015-07-04,38,29,76.3158
"City Hotel",2015-07-05,8,8,100.0000
"City Hotel",2015-07-06,30,29,96.6667
"City Hotel",2015-07-07,19,17,89.4737
"City Hotel",2015-07-08,40,16,40.0000
"City Hotel",2015-07-09,46,45,97.8261
"City Hotel",2015-07-10,9,7,77.7778
"City Hotel",2015-07-11,62,31,50.0000
"City Hotel",2015-07-12,18,18,100.0000
"City Hotel",2015-07-13,33,32,96.9697
"City Hotel",2015-07-14,6,6,100.0000
"City Hotel",2015-07-15,42,18,42.8571
"City Hotel",2015-07-16,51,50,98.0392
"City Hotel",2015-07-17,91,36,39.5604
"City Hotel",2015-07-18,111,68,61.2613
"City Hotel",2015-07-19,7,7,100.0000
"City Hotel",2015-07-20,59,57,96.6102
"City Hotel",2015-07-21,39,39,100.0000
"City Hotel",2015-07-22,101,77,76.2376
"City Hotel",2015-07-23,91,52,57.1429
"City Hotel",2015-07-24,7,2,28.5714
"City Hotel",2015-07-25,149,87,58.3893
"City Hotel",2015-07-26,6,4,66.6667
"City Hotel",2015-07-27,108,82,75.9259
"City Hotel",2015-07-28,10,2,20.0000
"City Hotel",2015-07-29,13,3,23.0769
"City Hotel",2015-07-30,51,46,90.1961
"City Hotel",2015-07-31,9,3,33.3333
"City Hotel",2015-08-01,35,19,54.2857
"City Hotel",2015-08-02,6,0,0.0000
"City Hotel",2015-08-03,120,98,81.6667
"City Hotel",2015-08-04,12,3,25.0000
"City Hotel",2015-08-05,125,56,44.8000
"City Hotel",2015-08-06,53,23,43.3962
"City Hotel",2015-08-07,92,45,48.9130
"City Hotel",2015-08-08,153,80,52.2876
"City Hotel",2015-08-09,30,2,6.6667
"City Hotel",2015-08-10,138,66,47.8261
"City Hotel",2015-08-11,67,6,8.9552
"City Hotel",2015-08-12,105,39,37.1429
"City Hotel",2015-08-13,69,44,63.7681
"City Hotel",2015-08-14,289,201,69.5502
"City Hotel",2015-08-15,124,69,55.6452
"City Hotel",2015-08-16,29,5,17.2414
"City Hotel",2015-08-17,131,68,51.9084
"City Hotel",2015-08-18,64,19,29.6875
"City Hotel",2015-08-19,39,1,2.5641
"City Hotel",2015-08-20,76,46,60.5263
"City Hotel",2015-08-21,41,7,17.0732
"City Hotel",2015-08-22,82,45,54.8780
"City Hotel",2015-08-23,27,2,7.4074
"City Hotel",2015-08-24,104,55,52.8846
"City Hotel",2015-08-25,93,47,50.5376
"City Hotel",2015-08-26,93,42,45.1613
"City Hotel",2015-08-27,59,45,76.2712
"City Hotel",2015-08-28,28,9,32.1429
"City Hotel",2015-08-29,56,12,21.4286
"City Hotel",2015-08-30,56,45,80.3571
"City Hotel",2015-08-31,80,29,36.2500
"City Hotel",2015-09-01,40,2,5.0000
"City Hotel",2015-09-02,45,5,11.1111
"City Hotel",2015-09-03,85,41,48.2353
"City Hotel",2015-09-04,140,25,17.8571
"City Hotel",2015-09-05,189,119,62.9630
"City Hotel",2015-09-06,94,11,11.7021
"City Hotel",2015-09-07,84,30,35.7143
"City Hotel",2015-09-08,77,26,33.7662
"City Hotel",2015-09-09,167,56,33.5329
"City Hotel",2015-09-10,93,63,67.7419
"City Hotel",2015-09-11,179,77,43.0168
"City Hotel",2015-09-12,122,68,55.7377
"City Hotel",2015-09-13,32,4,12.5000
"City Hotel",2015-09-14,101,30,29.7030
"City Hotel",2015-09-15,67,5,7.4627
"City Hotel",2015-09-16,113,43,38.0531
"City Hotel",2015-09-17,179,97,54.1899
"City Hotel",2015-09-18,311,197,63.3441
"City Hotel",2015-09-19,120,53,44.1667
"City Hotel",2015-09-20,102,36,35.2941
"City Hotel",2015-09-21,161,68,42.2360
"City Hotel",2015-09-22,82,9,10.9756
"City Hotel",2015-09-23,117,38,32.4786
"City Hotel",2015-09-24,166,101,60.8434
"City Hotel",2015-09-25,212,90,42.4528
"City Hotel",2015-09-26,122,72,59.0164
"City Hotel",2015-09-27,38,13,34.2105
"City Hotel",2015-09-28,62,32,51.6129
"City Hotel",2015-09-29,76,40,52.6316
"City Hotel",2015-09-30,153,92,60.1307
"City Hotel",2015-10-01,78,30,38.4615
"City Hotel",2015-10-02,172,17,9.8837
"City Hotel",2015-10-03,125,100,80.0000
"City Hotel",2015-10-04,110,27,24.5455
"City Hotel",2015-10-05,169,91,53.8462
"City Hotel",2015-10-06,126,57,45.2381
"City Hotel",2015-10-07,157,53,33.7580
"City Hotel",2015-10-08,93,50,53.7634
"City Hotel",2015-10-09,116,20,17.2414
"City Hotel",2015-10-10,173,93,53.7572
"City Hotel",2015-10-11,59,28,47.4576
"City Hotel",2015-10-12,132,42,31.8182
